PostCode,Latitude,Longitude,City,Province,CityAlt,Neighborhood,Time Zone,Name,Area Code
"G1A1A3","46.808643","-71.215256","Québec","QC","Quebec","Vieux-Quebec","UTC-05:00","America/Montreal","581"
"G1A1A4","46.808643","-71.215256","Québec","QC","Quebec","Vieux-Quebec","UTC-05:00","America/Montreal","581"
"G1A1A5","46.808142","-71.214923","Québec","QC","Quebec","Vieux-Quebec","UTC-05:00","America/Montreal","581"
"G1A1A8","46.817426","-71.212300","Québec","QC","Quebec","Vieux-Quebec","UTC-05:00","America/Montreal","581"
"G1A1A9","46.817611","-71.212510","Québec","QC","Quebec","Vieux-Quebec","UTC-05:00","America/Montreal","581"
"G1A1B4","46.809317","-71.216464","Québec","QC","Quebec","Vieux-Quebec","UTC-05:00","America/Montreal","581"
"G1A1B5","46.811087","-71.214564","Québec","QC","Quebec","Vieux-Quebec","UTC-05:00","America/Montreal","581"
"G1A1B7","46.817037","-71.211242","Québec","QC","Quebec","Vieux-Quebec","UTC-05:00","America/Montreal","581"
"G1A1B8","46.817038","-71.211242","Québec","QC","Quebec","Vieux-Quebec","UTC-05:00","America/Montreal","581"
"G1A1B9","46.817039","-71.211242","Québec","QC","Quebec","Vieux-Quebec","UTC-05:00","America/Montreal","581"
"G1A1C1","46.817040","-71.211242","Québec","QC","Quebec","Vieux-Quebec","UTC-05:00","America/Montreal","581"
"G1A1C2","46.817041","-71.211242","Québec","QC","Quebec","Vieux-Quebec","UTC-05:00","America/Montreal","581"
"G1A1C3","46.817042","-71.211242","Québec","QC","Quebec","Vieux-Quebec","UTC-05:00","America/Montreal","581"
"G1A1C5","46.809002","-71.215495","Québec","QC","Quebec","Vieux-Quebec","UTC-05:00","America/Montreal","581"
"G1A1C6","46.816820","-71.212041","Québec","QC","Quebec","Vieux-Quebec","UTC-05:00","America/Montreal","581"
