U+0000	00
U+0001	01
U+0002	02
U+0003	03
U+0004	04
U+0005	05
U+0006	06
U+0007	07
U+0008	08
U+0009	09
U+000A	0a
U+000B	0b
U+000C	0c
U+000D	0d
U+000E	0e
U+000F	0f
U+0010	10
U+0011	11
U+0012	12
U+0013	13
U+0014	14
U+0015	15
U+0016	16
U+0017	17
U+0018	18
U+0019	19
U+001A	1a
U+001B	1b
U+001C	1c
U+001D	1d
U+001E	1e
U+001F	1f
U+0020	20
U+0021	21
U+0022	22
U+0023	23
U+0024	24
U+0025	25
U+0026	26
U+0027	27
U+0028	28
U+0029	29
U+002A	2a
U+002B	2b
U+002C	2c
U+002D	2d
U+002E	2e
U+002F	2f
U+0030	30
U+0031	31
U+0032	32
U+0033	33
U+0034	34
U+0035	35
U+0036	36
U+0037	37
U+0038	38
U+0039	39
U+003A	3a
U+003B	3b
U+003C	3c
U+003D	3d
U+003E	3e
U+003F	3f
U+0040	40
U+0041	41
U+0042	42
U+0043	43
U+0044	44
U+0045	45
U+0046	46
U+0047	47
U+0048	48
U+0049	49
U+004A	4a
U+004B	4b
U+004C	4c
U+004D	4d
U+004E	4e
U+004F	4f
U+0050	50
U+0051	51
U+0052	52
U+0053	53
U+0054	54
U+0055	55
U+0056	56
U+0057	57
U+0058	58
U+0059	59
U+005A	5a
U+005B	5b
U+005C	5c
U+005D	5d
U+005E	5e
U+005F	5f
U+0060	60
U+0061	61
U+0062	62
U+0063	63
U+0064	64
U+0065	65
U+0066	66
U+0067	67
U+0068	68
U+0069	69
U+006A	6a
U+006B	6b
U+006C	6c
U+006D	6d
U+006E	6e
U+006F	6f
U+0070	70
U+0071	71
U+0072	72
U+0073	73
U+0074	74
U+0075	75
U+0076	76
U+0077	77
U+0078	78
U+0079	79
U+007A	7a
U+007B	7b
U+007C	7c
U+007D	7d
U+007E	7e
U+007F	7f
